pid,time,indexfinger.X,indexfinger.Y,indexfinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperarm.X,upperarm.Y,upperarm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexfingerO.X,indexfingerO.Y,indexfingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperarmO.X,upperarmO.Y,upperarmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
1,0.0,0.1540044910179641,0.37548928143712573,-0.17045419161676648,0.1661094011976048,0.4946033532934132,-0.1537694011976048,0.16910742514970062,0.5798976646706586,-0.1783990419161677,0.15043532934131737,0.698734131736527,-0.20353928143712574,0.07574491017964072,0.7869347305389223,-0.1842334131736527,0.006074730538922156,0.9400556886227546,-0.15137035928143716,-0.0705139520958084,0.8014017964071857,-0.21149616766467066,0.5114012,-0.3315156,-0.6090153,-0.08632719999999999,-0.1332814,-0.8055383,0.5840679,0.3365493,-0.3571645,0.4712943,0.3946024,-0.4484505999999999,-0.03768780000000001,0.35359809999999997,-0.053833900000000004,-0.12172480000000001,-0.0254243,7.37e-05,-0.1254532,-0.40123190000000003,-0.10286500000000001
1,6.596,0.5214317365269461,0.9111718562874253,-0.20278904191616767,0.4136115568862276,0.8731275449101797,-0.20098658682634732,0.33244784431137725,0.8713658682634732,-0.22971353293413174,0.21045077844311375,0.8631736526946108,-0.24428191616766468,0.0792168263473054,0.803108383233533,-0.2029711377245509,0.0001567664670658683,0.941974251497006,-0.14560670658682634,-0.07738491017964073,0.7997173652694611,-0.19273299401197605,0.0538246,0.1334808,0.25172310000000003,0.053672300000000006,-0.5879388000000001,-0.7610701,-0.13841610000000001,0.6284589,-0.2588178,-0.1695526,0.5990721999999999,-0.16167879999999998,-0.045869,0.42666859999999995,-0.007804899999999999,-0.1258228,-0.053952099999999996,0.0108183,-0.1018915,-0.3529788,-0.07857130000000001
1,11.7716,0.06748502994011976,0.9071796407185629,0.21508161676646706,0.07326946107784431,0.8720011976047904,0.1078883233532934,0.09608119760479042,0.8703622754491017,0.02172125748502994,0.10405413173652694,0.8596772455089822,-0.10159131736526948,0.12158514970059882,0.9145467065868264,0.02920245508982036,-0.0030866467065868266,0.9449934131736527,-0.16876239520958086,-0.07748107784431138,0.8002059880239522,-0.22449544910179642,-0.10632219999999999,-0.6021,0.2861067,0.5729898,-0.5650398,-0.5475281999999999,0.056528800000000004,-0.043475099999999996,-0.12881869999999998,-0.0147934,-0.0759874,-0.1590363,0.49975299999999995,-0.6911439,0.46599579999999996,-0.104361,-0.0117559,0.0032823,-0.11951179999999999,-0.45736720000000003,-0.0783302
2,0.0,0.10882441489361702,0.3920069680851064,-0.12834819148936172,0.12206712765957448,0.4914856382978724,-0.14303946808510642,0.1145908510638298,0.5858191489361703,-0.15641851063829787,0.10270175531914894,0.6923462765957448,-0.18019000000000002,0.03833191489361702,0.791970744680851,-0.16076170212765958,-0.02515085106382979,0.9066760638297873,-0.08672031914893619,-0.08792941489361703,0.7866377659574468,-0.15848563829787235,0.392827,-0.43846620000000003,-0.5280011,-0.0070337,-0.16366329999999998,-0.732865,0.6940346,0.1492983,-0.06756960000000001,0.5314135999999999,0.3664848,-0.39291170000000003,0.15125170000000002,-0.15195079999999997,0.0371533,0.2982259,0.0402293,-0.0214937,-0.1211627,-0.3361333,-0.030467
2,5.31,0.44966484042553195,0.8667175531914895,-0.13739425531914895,0.35122749999999997,0.8609654255319149,-0.15506521276595744,0.2535751595744681,0.8556117021276596,-0.16745606382978726,0.14406792553191491,0.8428047872340426,-0.17850930851063831,0.018519255319148935,0.8112005319148936,-0.15069781914893618,0.013389627659574469,0.9238255319148936,-0.11365648936170214,-0.10577909574468086,0.7783489361702127,-0.13053164893617022,-0.0094249,0.0074502,0.0640269,0.0479452,-0.6676300999999999,-0.7396166000000001,0.0310748,0.6860949000000001,-0.0214572,-0.11891030000000001,0.5981618000000001,-0.11979589999999998,0.13360970000000003,-0.1778294,-0.0922796,0.0935908,0.557615,-0.11735739999999999,-0.09375069999999999,-0.3093205,0.026950799999999997
2,9.519,-0.0037642553191489367,0.8975505319148936,0.2534131914893617,0.010829893617021278,0.8909500000000001,0.15516718085106382,0.02408095744680851,0.8767851063829789,0.054484308510638305,0.03935063829787234,0.8514021276595745,-0.0575313829787234,0.009825904255319151,0.8143739361702128,-0.14807212765957448,-0.0316411170212766,0.9315319148936171,-0.11036425531914894,-0.09853563829787235,0.7858281914893618,-0.17513882978723408,-0.06858819999999999,-0.6876251,0.0555352,0.5461991999999999,-0.5184441,-0.5083739,-0.017668,-0.0426059,0.0515058,-0.0335795,-0.16423139999999997,-0.11734080000000001,0.05955740000000001,0.1661562,-0.0727811,0.1296318,0.044689599999999996,-0.05365219999999999,-0.10125219999999999,-0.44796320000000006,-0.0250068
3,0.0,0.1698628484848485,0.3854053333333334,-0.18818666666666667,0.1882321818181818,0.48889581818181815,-0.20817212121212122,0.17634466666666665,0.589684303030303,-0.21942333333333333,0.16163248484848483,0.7017527272727273,-0.24445551515151515,0.0989689696969697,0.79198,-0.22631763636363636,0.035086727272727276,0.9540927272727274,-0.18014236363636366,-0.04602127272727273,0.7873478787878788,-0.21806278787878786,-0.43778829999999996,0.4749692,0.47261400000000003,-0.28088240000000003,-0.1986224,-0.6720154,-0.6420402,-0.22971570000000002,0.1733491,0.5591577,0.3535472,-0.3894262,-0.0958123,0.23857899999999999,-0.0224139,0.0026686999999999995,0.0926303,-0.0115805,-0.1014261,-0.3587656,-0.0373279
3,6.7522,0.5508033939393939,0.8520212121212122,-0.2405035757575758,0.4436521212121213,0.8491090909090909,-0.25030036363636365,0.3412660606060607,0.8573303030303031,-0.24872733333333338,0.22481054545454549,0.8518848484848486,-0.2542367878787879,0.09593230303030303,0.8092884848484849,-0.22564496969696973,0.02558236363636364,0.9569212121212123,-0.17278460606060606,-0.05290387878787879,0.7879284848484849,-0.21015363636363638,0.0433134,0.0847439,0.0326339,-0.1417444,-0.8105163000000001,-0.5683052,0.0754392,-0.6891568,0.149614,-0.1541144,0.6130225,-0.1899593,-0.07076389999999999,0.2378355,0.0633299,-0.0201009,0.068188,-0.0061792,-0.0852561,-0.40109520000000004,-0.027352699999999997
3,11.5615,0.11149066666666667,0.9033242424242425,0.18381933333333336,0.13107430303030304,0.8920606060606061,0.0766651515151515,0.12498375757575758,0.883918787878788,-0.02916387878787879,0.12994012121212123,0.859608484848485,-0.14404727272727275,0.08782654545454545,0.8153975757575758,-0.22583521212121213,0.046687030303030314,0.9506860606060606,-0.1941250303030303,-0.04260339393939394,0.7919672727272727,-0.23356848484848486,-0.0352281,0.6696715,-0.1951105,0.3639779,-0.5612172,-0.5315263000000001,0.0245458,-0.015005200000000002,0.017274900000000003,-0.0365386,-0.0797077,-0.0867876,-0.0464751,-0.04911,0.09795980000000001,0.0318677,0.0935671,-0.029661200000000002,-0.10429189999999999,-0.444154,-0.031208299999999998
4,0.0,0.13008171597633136,0.6933224852071006,-0.19945544378698224,0.16640224852071003,0.5064944378698225,-0.21575147928994085,0.14833005917159764,0.5902097041420118,-0.22989289940828403,0.11422923076923076,0.7021928994082841,-0.23969828402366866,0.05650875739644971,0.7870692307692307,-0.21826917159763315,-0.019323313609467457,0.9194940828402368,-0.1509731952662722,-0.0856533727810651,0.7792378698224853,-0.19039928994082841,-0.3543663,0.4309454000000001,-0.5880026999999999,0.3246633,0.192275,0.7964991,-0.5463821,-0.4278705,0.31983959999999995,0.4837112,0.42971220000000004,-0.4316572,-0.07335169999999999,0.16050910000000002,-0.0348201,0.107675,0.0087471,0.038000900000000004,0.07636210000000002,0.13271889999999997,0.0766076
4,5.44,0.15178745562130178,0.8257112426035504,-0.3010815384615385,0.35683177514792896,0.8402349112426035,-0.2713062721893491,0.27000248520710063,0.8304153846153847,-0.27361721893491125,0.15535692307692311,0.8291597633136094,-0.2544840828402367,0.043988343195266275,0.8080307692307692,-0.21344798816568047,-0.029006094674556216,0.9231272189349112,-0.14924242603550295,-0.09787485207100592,0.7798905325443787,-0.18995520710059172,0.0940307,-0.8038649999999999,0.2834961,0.159075,0.7609953,0.6115145000000001,0.2185499,-0.6871824000000001,0.2280013,-0.12950830000000002,0.6670590000000001,-0.17212249999999998,-0.0640926,0.2364549,0.0388802,0.0956975,-0.0032418,0.0255143,0.06703189999999999,0.177703,0.05687090000000001
4,9.794,0.04838,0.8554307692307692,0.1735330177514793,0.06076686390532545,0.8371035502958579,0.06973822485207101,0.0814923076923077,0.8308183431952663,-0.013994970414201183,0.08378402366863906,0.8216437869822486,-0.1331189349112426,0.06434556213017752,0.8482686390532544,-0.03689928994082841,-0.016982485207100592,0.9245355029585799,-0.1631605325443787,-0.08658863905325444,0.7809633136094675,-0.19728224852071008,-0.1350738,-0.6755502,0.1242452,-0.521564,0.534098,0.5646074000000001,-0.017068200000000002,0.051410800000000006,0.14134349999999998,0.0449174,-0.030118000000000002,-0.2163909,0.4045489,-0.1219219,0.3439262,0.0801597,-0.0010649000000000001,0.031121,0.0887304,0.18193199999999998,0.0760259
5,0.0,0.14703625698324022,0.37281653631284917,-0.20184994413407822,0.15057195530726256,0.4792589385474861,-0.21922877094972068,0.14863575418994415,0.5470139106145252,-0.2286094972067039,0.12935078212290502,0.6778000000000001,-0.24837480446927376,0.07815519553072625,0.776590502793296,-0.2352150279329609,0.009825474860335194,0.9334413407821228,-0.17620541899441342,-0.06189424581005586,0.7837223463687151,-0.2350087709497207,0.3968751,-0.4685048,-0.47559819999999997,-0.0293193,-0.1640128,-0.7875601999999999,0.6368946,0.2079384,-0.17376760000000002,0.5900513000000001,0.2527267,-0.31406890000000004,-0.1073316,0.1105488,-0.024955900000000003,-0.1316828,-0.0683572,0.0118293,0.1550789,0.2425034,0.0693926
5,4.841,0.5109462569832403,0.8987290502793296,-0.2703740223463687,0.40417608938547483,0.8872709497206703,-0.26249379888268154,0.33194709497206704,0.8772675977653631,-0.2660411731843575,0.19983905027932963,0.8505379888268155,-0.26602687150837984,0.07516033519553073,0.7908653631284915,-0.23376078212290505,0.005117486033519553,0.9344832402234636,-0.16418296089385476,-0.066716312849162,0.7818949720670391,-0.22004843575418995,0.0539899,0.1016589,0.1269424,-0.12282989999999999,-0.6560208000000001,-0.7204775999999999,-0.0933283,0.7051883000000001,-0.0522367,-0.0910128,0.6214408,0.005765600000000001,-0.0817421,0.2745665,0.020199400000000003,-0.1281511,-0.0891302,0.0105983,0.1481593,0.24519520000000003,0.0553067
5,8.773,0.08022525139664805,0.8806374301675978,0.1847045251396648,0.08447513966480447,0.8609765363128491,0.07911860335195531,0.0927440223463687,0.8547497206703911,0.008024804469273743,0.10027871508379889,0.8341804469273743,-0.1260795530726257,0.05803251396648044,0.7933100558659218,-0.22013893854748603,0.0047014525139664805,0.9319720670391061,-0.17042569832402235,-0.06815061452513965,0.7835620111731844,-0.2363805586592179,-0.0845176,-0.6589479,0.1714346,0.48820740000000007,-0.5814798000000001,-0.5561781,-0.011314399999999999,-0.020430700000000003,-0.025142400000000002,-0.033368199999999994,-0.097872,-0.0646082,0.0198115,-0.0034871000000000004,0.07310130000000001,-0.1370936,-0.055366599999999995,0.020028099999999997,0.1420846,0.30224829999999997,0.0772332
6,0.0,0.13714659793814435,0.3667560824742268,-0.17541680412371133,0.1323778350515464,0.4754795360824743,-0.17807551546391753,0.12653170103092784,0.5392427835051546,-0.18447463917525775,0.11535123711340206,0.6829628865979381,-0.19529484536082475,0.052503711340206184,0.7930103092783506,-0.18238293814432993,-0.001842061855670103,0.885798969072165,-0.09918505154639176,-0.07396505154639176,0.7997907216494846,-0.17403329896907213,0.4211566,-0.311743,-0.5758462,-0.0796899,-0.2152821,-0.8236207,0.6939828,0.1284147,-0.12673810000000002,-0.6576065999999999,-0.2127035,0.2388384,-0.1626934,0.08123639999999999,-0.0185858,0.3917162,0.0436968,0.015184200000000002,-0.1940738,-0.1439521,-0.024219400000000002
6,4.4417,0.5148926288659794,0.8408025773195876,-0.23891242268041235,0.4071129896907216,0.8373850515463918,-0.23040231958762888,0.3411673711340206,0.835109793814433,-0.23032690721649487,0.1957503608247423,0.8320587628865981,-0.22829180412371136,0.05932649484536082,0.8157422680412372,-0.19936494845360825,-0.002579690721649485,0.8985824742268042,-0.11153840206185567,-0.07113587628865979,0.7993917525773196,-0.1811078350515464,-0.1157627,0.121795,0.006998999999999999,-0.0564433,-0.7104672,-0.6659769,0.030529300000000002,0.687643,-0.0328857,-0.0625366,-0.6498944000000001,-0.0082751,-0.14615029999999998,0.048012,0.0808474,0.3297757,0.043045,0.0375529,-0.196456,-0.13712560000000001,-0.0035664
6,8.6733,-0.0011005670103092784,0.8709134020618557,0.2251507731958763,0.010165515463917526,0.8578860824742269,0.11918891752577318,0.022534123711340205,0.8501216494845362,0.05414731958762887,0.04890417525773197,0.8360030927835052,-0.08960721649484538,0.02358159793814433,0.8178963917525773,-0.1841787113402062,-0.01545396907216495,0.914523711340206,-0.13147309278350516,-0.0843931443298969,0.7993396907216495,-0.19809,-0.0941763,-0.6839329000000001,0.021200599999999997,0.5304245,-0.6043977,-0.4732389,0.020109000000000002,-0.0897409,0.028374299999999998,0.013168700000000002,0.1827934,0.0083762,-0.063983,-0.2335491,0.0758651,0.2373245,0.0314359,0.0180836,-0.20504850000000002,-0.199468,-0.0161631
7,0.0,0.115088021978022,0.35890093406593404,-0.17426741758241757,0.12213,0.4724690659340659,-0.1770157692307692,0.1243458791208791,0.5528506043956043,-0.18410923076923078,0.12249472527472528,0.6967054945054946,-0.20798791208791206,0.059989175824175824,0.8144478021978022,-0.21562862637362634,-0.0016705494505494505,0.9022104395604396,-0.13127324175824173,-0.06924197802197803,0.808825824175824,-0.22321362637362635,0.4906679,-0.5034028,-0.4555079000000001,-0.0759804,0.0316715,0.8067809,0.6998991,0.028340399999999998,-0.026443900000000003,0.5931504,0.23331060000000003,-0.35588509999999995,0.27664720000000004,0.0769658,0.09371360000000001,0.2758291,0.0517365,-0.0195168,-0.2574548,-0.3057224,-0.1647711
