calid,pid,indexFinger.X,indexFinger.Y,indexFinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperArm.X,upperArm.Y,upperArm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexFingerO.X,indexFingerO.Y,indexFingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperArmO.X,upperArmO.Y,upperArmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
0,1,0.001494,0.003519,-0.002014,0.001615,0.004710,-0.001847,0.001645,0.005563,-0.002093,0.001458,0.006752,-0.002344,0.000711,0.007634,-0.002151,0.000015,0.009165,-0.001823,-0.000751,0.007778,-0.002424,0.511401,-0.331516,-0.609015,-0.086327,-0.133281,-0.805538,0.584068,0.336549,-0.357164,0.471294,0.394602,-0.448451,-0.037688,0.353598,-0.053834,-0.121725,-0.025424,0.000074,-0.125453,-0.401232,-0.102865
1,1,0.005168,0.008876,-0.002337,0.004090,0.008496,-0.002319,0.003278,0.008478,-0.002606,0.002058,0.008396,-0.002752,0.000746,0.007795,-0.002339,-0.000045,0.009184,-0.001765,-0.000820,0.007762,-0.002236,0.053825,0.133481,0.251723,0.053672,-0.587939,-0.761070,-0.138416,0.628459,-0.258818,-0.169553,0.599072,-0.161679,-0.045869,0.426669,-0.007805,-0.125823,-0.053952,0.010818,-0.101891,-0.352979,-0.078571
2,1,0.000629,0.008836,0.001842,0.000687,0.008484,0.000770,0.000915,0.008468,-0.000092,0.000994,0.008361,-0.001325,0.001170,0.008910,-0.000017,-0.000077,0.009214,-0.001997,-0.000821,0.007766,-0.002554,-0.106322,-0.602100,0.286107,0.572990,-0.565040,-0.547528,0.056529,-0.043475,-0.128819,-0.014793,-0.075987,-0.159036,0.499753,-0.691144,0.465996,-0.104361,-0.011756,0.003282,-0.119512,-0.457367,-0.078330
0,2,0.001047,0.003711,-0.001558,0.001180,0.004706,-0.001705,0.001105,0.005649,-0.001839,0.000986,0.006714,-0.002076,0.000342,0.007710,-0.001882,-0.000292,0.008857,-0.001142,-0.000920,0.007657,-0.001859,0.392827,-0.438466,-0.528001,-0.007034,-0.163663,-0.732865,0.694035,0.149298,-0.067570,0.531414,0.366485,-0.392912,0.151252,-0.151951,0.037153,0.298226,0.040229,-0.021494,-0.121163,-0.336133,-0.030467
1,2,0.004456,0.008458,-0.001648,0.003471,0.008400,-0.001825,0.002495,0.008347,-0.001949,0.001400,0.008219,-0.002060,0.000144,0.007903,-0.001781,0.000093,0.009029,-0.001411,-0.001099,0.007574,-0.001580,-0.009425,0.007450,0.064027,0.047945,-0.667630,-0.739617,0.031075,0.686095,-0.021457,-0.118910,0.598162,-0.119796,0.133610,-0.177829,-0.092280,0.093591,0.557615,-0.117357,-0.093751,-0.309320,0.026951
2,2,-0.000079,0.008766,0.002260,0.000067,0.008700,0.001277,0.000200,0.008559,0.000270,0.000353,0.008305,-0.000850,0.000057,0.007934,-0.001755,-0.000357,0.009106,-0.001378,-0.001026,0.007649,-0.002026,-0.068588,-0.687625,0.055535,0.546199,-0.518444,-0.508374,-0.017668,-0.042606,0.051506,-0.033579,-0.164231,-0.117341,0.059557,0.166156,-0.072781,0.129632,0.044690,-0.053652,-0.101252,-0.447963,-0.025007
0,3,0.001652,0.003616,-0.002195,0.001836,0.004650,-0.002394,0.001717,0.005658,-0.002507,0.001570,0.006779,-0.002757,0.000943,0.007681,-0.002576,0.000304,0.009302,-0.002114,-0.000507,0.007635,-0.002493,-0.437788,0.474969,0.472614,-0.280882,-0.198622,-0.672015,-0.642040,-0.229716,0.173349,0.559158,0.353547,-0.389426,-0.095812,0.238579,-0.022414,0.002669,0.092630,-0.011581,-0.101426,-0.358766,-0.037328
1,3,0.005461,0.008282,-0.002718,0.004390,0.008253,-0.002816,0.003366,0.008335,-0.002800,0.002201,0.008280,-0.002855,0.000913,0.007854,-0.002569,0.000209,0.009331,-0.002041,-0.000576,0.007641,-0.002414,0.043313,0.084744,0.032634,-0.141744,-0.810516,-0.568305,0.075439,-0.689157,0.149614,-0.154114,0.613023,-0.189959,-0.070764,0.237836,0.063330,-0.020101,0.068188,-0.006179,-0.085256,-0.401095,-0.027353
2,3,0.001068,0.008795,0.001525,0.001264,0.008682,0.000454,0.001203,0.008601,-0.000604,0.001253,0.008358,-0.001753,0.000832,0.007915,-0.002571,0.000420,0.009268,-0.002254,-0.000473,0.007681,-0.002648,-0.035228,0.669671,-0.195110,0.363978,-0.561217,-0.531526,0.024546,-0.015005,0.017275,-0.036539,-0.079708,-0.086788,-0.046475,-0.049110,0.097960,0.031868,0.093567,-0.029661,-0.104292,-0.444154,-0.031208
0,4,0.001255,0.006700,-0.002300,0.001618,0.004832,-0.002463,0.001438,0.005669,-0.002604,0.001097,0.006789,-0.002702,0.000520,0.007638,-0.002488,-0.000239,0.008962,-0.001815,-0.000902,0.007560,-0.002209,-0.354366,0.430945,-0.588003,0.324663,0.192275,0.796499,-0.546382,-0.427870,0.319840,0.483711,0.429712,-0.431657,-0.073352,0.160509,-0.034820,0.107675,0.008747,0.038001,0.076362,0.132719,0.076608
1,4,0.001472,0.008024,-0.003316,0.003523,0.008170,-0.003018,0.002654,0.008071,-0.003041,0.001508,0.008059,-0.002850,0.000394,0.007847,-0.002440,-0.000336,0.008998,-0.001798,-0.001024,0.007566,-0.002205,0.094031,-0.803865,0.283496,0.159075,0.760995,0.611515,0.218550,-0.687182,0.228001,-0.129508,0.667059,-0.172122,-0.064093,0.236455,0.038880,0.095698,-0.003242,0.025514,0.067032,0.177703,0.056871
2,4,0.000438,0.008321,0.001430,0.000562,0.008138,0.000392,0.000769,0.008075,-0.000445,0.000792,0.007984,-0.001637,0.000598,0.008250,-0.000674,-0.000215,0.009013,-0.001937,-0.000911,0.007577,-0.002278,-0.135074,-0.675550,0.124245,-0.521564,0.534098,0.564607,-0.017068,0.051411,0.141343,0.044917,-0.030118,-0.216391,0.404549,-0.121922,0.343926,0.080160,-0.001065,0.031121,0.088730,0.181932,0.076026
0,5,0.001427,0.003508,-0.002307,0.001463,0.004573,-0.002481,0.001443,0.005250,-0.002574,0.001250,0.006558,-0.002772,0.000739,0.007546,-0.002640,0.000055,0.009115,-0.002050,-0.000662,0.007617,-0.002638,0.396875,-0.468505,-0.475598,-0.029319,-0.164013,-0.787560,0.636895,0.207938,-0.173768,0.590051,0.252727,-0.314069,-0.107332,0.110549,-0.024956,-0.131683,-0.068357,0.011829,0.155079,0.242503,0.069393
1,5,0.005066,0.008767,-0.002992,0.003999,0.008653,-0.002913,0.003276,0.008553,-0.002949,0.001955,0.008286,-0.002949,0.000709,0.007689,-0.002626,0.000008,0.009125,-0.001930,-0.000710,0.007599,-0.002489,0.053990,0.101659,0.126942,-0.122830,-0.656021,-0.720478,-0.093328,0.705188,-0.052237,-0.091013,0.621441,0.005766,-0.081742,0.274566,0.020199,-0.128151,-0.089130,0.010598,0.148159,0.245195,0.055307
2,5,0.000759,0.008587,0.001559,0.000802,0.008390,0.000503,0.000884,0.008328,-0.000208,0.000960,0.008122,-0.001549,0.000537,0.007713,-0.002490,0.000004,0.009100,-0.001993,-0.000725,0.007616,-0.002652,-0.084518,-0.658948,0.171435,0.488207,-0.581480,-0.556178,-0.011314,-0.020431,-0.025142,-0.033368,-0.097872,-0.064608,0.019811,-0.003487,0.073101,-0.137094,-0.055367,0.020028,0.142085,0.302248,0.077233
0,6,0.001332,0.003465,-0.002020,0.001284,0.004552,-0.002047,0.001226,0.005190,-0.002111,0.001114,0.006627,-0.002219,0.000485,0.007727,-0.002090,-0.000058,0.008655,-0.001258,-0.000779,0.007795,-0.002006,0.421157,-0.311743,-0.575846,-0.079690,-0.215282,-0.823621,0.693983,0.128415,-0.126738,-0.657607,-0.212703,0.238838,-0.162693,0.081236,-0.018586,0.391716,0.043697,0.015184,-0.194074,-0.143952,-0.024219
1,6,0.005109,0.008205,-0.002655,0.004031,0.008171,-0.002570,0.003372,0.008148,-0.002569,0.001918,0.008118,-0.002549,0.000554,0.007955,-0.002260,-0.000065,0.008783,-0.001381,-0.000751,0.007791,-0.002077,-0.115763,0.121795,0.006999,-0.056443,-0.710467,-0.665977,0.030529,0.687643,-0.032886,-0.062537,-0.649894,-0.008275,-0.146150,0.048012,0.080847,0.329776,0.043045,0.037553,-0.196456,-0.137126,-0.003566
2,6,-0.000051,0.008506,0.001986,0.000062,0.008376,0.000926,0.000186,0.008298,0.000275,0.000449,0.008157,-0.001162,0.000196,0.007976,-0.002108,-0.000194,0.008942,-0.001581,-0.000884,0.007791,-0.002247,-0.094176,-0.683933,0.021201,0.530424,-0.604398,-0.473239,0.020109,-0.089741,0.028374,0.013169,0.182793,0.008376,-0.063983,-0.233549,0.075865,0.237324,0.031436,0.018084,-0.205049,-0.199468,-0.016163
0,7,0.001109,0.003373,-0.002026,0.001179,0.004508,-0.002054,0.001201,0.005312,-0.002125,0.001183,0.006751,-0.002363,0.000558,0.007928,-0.002440,-0.000059,0.008806,-0.001596,-0.000735,0.007872,-0.002516,0.490668,-0.503403,-0.455508,-0.075980,0.031672,0.806781,0.699899,0.028340,-0.026444,0.593150,0.233311,-0.355885,0.276647,0.076966,0.093714,0.275829,0.051736,-0.019517,-0.257455,-0.305722,-0.164771
1,7,0.003104,0.008856,-0.002587,0.003845,0.008627,-0.002573,0.003019,0.008617,-0.002662,0.001596,0.008429,-0.002804,0.000326,0.008222,-0.002594,-0.000215,0.009102,-0.001811,-0.000913,0.007865,-0.002330,0.876597,0.053832,0.409574,0.020164,0.636028,0.761311,0.055196,0.685241,0.015909,-0.145738,0.595089,-0.077710,0.303582,0.001722,-0.072305,0.088559,0.095755,-0.015720,-0.259979,-0.240835,-0.089871
2,7,0.000088,0.008593,0.002031,0.000248,0.008497,0.000921,0.000376,0.008507,0.000098,0.000639,0.008282,-0.001383,0.000263,0.008106,-0.002334,-0.000101,0.009137,-0.002006,-0.000790,0.007892,-0.002635,-0.089933,-0.691796,0.088642,-0.533355,0.548324,0.529682,0.049487,-0.052801,-0.046056,-0.056476,-0.210760,-0.236903,0.351907,0.203143,0.171323,0.071771,0.029337,-0.036738,-0.266380,-0.364393,-0.154328
0,8,0.000864,0.003457,-0.000463,0.001021,0.004523,-0.000732,0.000953,0.005457,-0.000913,0.000824,0.006531,-0.000744,0.000293,0.007477,-0.000411,-0.000418,0.009074,0.000091,0.002493,0.007181,0.000071,0.094614,-0.098935,0.800038,0.532852,0.582322,0.467159,0.338299,0.567417,-0.652705,0.560699,0.374171,-0.395363,-0.013036,0.288938,-0.005652,-0.079527,-0.106901,0.018897,-0.350992,-0.493985,-0.118743
1,8,0.004472,0.008162,-0.000698,0.003448,0.007785,-0.000830,0.002494,0.007765,-0.000952,0.001442,0.008057,-0.000863,0.000079,0.007615,-0.000520,-0.000634,0.009062,0.000034,0.002493,0.007181,0.000071,0.486932,0.013669,-0.126903,-0.104876,0.932716,0.330651,-0.393541,0.509544,-0.579060,-0.155374,0.623991,-0.190953,0.009983,0.314695,0.075992,-0.085118,-0.123595,0.011335,-0.350992,-0.493985,-0.118743
2,8,0.000650,0.007808,0.003642,0.000794,0.007865,0.002591,0.000867,0.007852,0.001582,0.000618,0.008022,0.000525,0.000055,0.007597,-0.000448,-0.000501,0.009091,-0.000175,0.003305,0.007949,0.000217,0.141534,0.676030,0.019946,-0.441899,0.516613,0.547601,0.080712,0.055043,-0.575965,-0.020262,-0.040044,-0.168876,0.051847,0.079250,0.105828,-0.066898,-0.059207,0.038594,-0.035207,-0.890313,-0.452629
0,9,0.001383,0.003592,-0.000378,0.001481,0.004671,-0.000468,0.001414,0.005312,-0.000678,0.001062,0.006664,-0.000923,0.000578,0.007550,-0.000624,-0.000141,0.008898,0.000297,-0.000899,0.007636,-0.000376,0.193774,-0.097793,-0.712096,-0.276882,-0.423006,-0.657685,0.519403,0.350450,-0.369783,0.532354,0.317380,-0.331232,0.116361,-0.344759,-0.055663,-0.228324,-0.015260,0.000751,-0.209959,-0.272305,-0.141466
1,9,0.004825,0.007945,-0.000309,0.003780,0.008160,-0.000483,0.003119,0.008100,-0.000675,0.001714,0.007920,-0.000843,0.000539,0.007653,-0.000581,-0.000208,0.008933,0.000302,-0.000975,0.007635,-0.000338,-0.144889,0.060231,-0.157149,0.053112,-0.757710,-0.650279,-0.099979,0.603270,-0.096539,0.017909,0.570673,0.063511,0.060112,-0.273326,-0.108388,-0.210523,-0.025257,0.001993,-0.209800,-0.283857,-0.133247
2,9,0.000712,0.007839,0.003337,0.000748,0.007944,0.002259,0.000855,0.007916,0.001601,0.000817,0.007843,0.000173,0.000341,0.007733,-0.000511,-0.000185,0.008985,0.000060,-0.000972,0.007639,-0.000600,-0.072021,-0.609667,-0.186270,0.469772,-0.610666,-0.438357,0.022254,-0.063993,-0.152645,0.016739,-0.073128,-0.016050,-0.034768,-0.057625,-0.159115,-0.184992,-0.026079,0.010521,-0.214534,-0.352368,-0.136320
0,10,0.000941,0.003603,-0.000605,0.001022,0.004624,-0.000841,0.001056,0.005165,-0.000922,0.000996,0.006881,-0.001022,0.000385,0.007822,-0.000830,-0.000282,0.008872,-0.000161,-0.001094,0.007712,-0.000684,-0.146323,0.119112,0.726150,0.412915,0.502655,0.584740,-0.570176,-0.327444,0.509988,0.617088,0.304241,-0.314606,0.257560,0.000187,0.141593,-0.239586,-0.039148,0.018033,-0.192364,-0.278756,-0.194110
1,10,0.004570,0.008968,-0.001582,0.003536,0.008861,-0.001603,0.002970,0.008719,-0.001688,0.001282,0.008445,-0.001564,0.000225,0.008068,-0.001048,-0.000454,0.008990,-0.000374,-0.001254,0.007734,-0.000780,0.105922,-0.117413,0.000341,-0.016436,0.792617,0.586176,0.275506,-0.603191,0.220686,-0.132516,0.664783,-0.051805,0.263746,-0.031104,0.071004,-0.182060,-0.050317,0.004220,-0.183715,-0.296543,-0.168542
2,10,0.000285,0.008909,0.003011,0.000400,0.008819,0.001991,0.000524,0.008735,0.001418,0.000495,0.008485,-0.000298,0.000038,0.008078,-0.001001,-0.000451,0.009069,-0.000674,-0.001262,0.007714,-0.001166,-0.017357,0.632383,-0.109473,-0.550066,0.552638,0.488640,0.021160,0.086720,0.161185,-0.035950,-0.049600,-0.012639,0.168557,0.233777,0.053820,-0.132113,-0.019215,0.007379,-0.167597,-0.398193,-0.179130
0,11,0.001495,0.003847,-0.000566,0.001488,0.004910,-0.000723,0.001429,0.005758,-0.000855,0.001236,0.006847,-0.001044,0.000656,0.007752,-0.001062,0.000001,0.009066,-0.000442,-0.000676,0.007808,-0.000943,0.393216,-0.349796,-0.504464,0.076360,0.205257,0.757274,0.667174,0.231890,-0.171302,0.572638,0.239770,-0.339497,-0.086434,0.195184,0.088914,0.173009,0.040725,0.030582,0.152176,0.271068,0.136438
1,11,0.004814,0.008522,-0.002254,0.003782,0.008371,-0.001991,0.002939,0.008430,-0.001867,0.001811,0.008407,-0.001645,0.000586,0.007961,-0.001133,-0.000069,0.009171,-0.000519,-0.000772,0.007828,-0.000857,-0.112797,0.234854,0.091954,0.055010,0.673967,0.699730,0.046679,0.761530,-0.076754,0.064326,0.699015,-0.014798,-0.056512,0.262944,0.191900,0.125995,0.046704,0.026530,0.147595,0.306758,0.106542
2,11,0.000591,0.008502,0.002798,0.000732,0.008273,0.001739,0.000795,0.008323,0.000906,0.000808,0.008280,-0.000247,0.000435,0.007945,-0.001087,0.000021,0.009152,-0.000686,-0.000687,0.007849,-0.001066,0.121924,0.667032,-0.037277,-0.577000,0.584200,0.437186,0.088415,-0.002142,0.067998,0.045337,-0.097374,0.075133,-0.021825,-0.006955,0.198430,0.138922,0.009248,0.029263,0.172660,0.319988,0.138645
0,12,0.001342,0.003599,-0.000483,0.001322,0.004657,-0.000688,0.001250,0.005510,-0.000822,0.001087,0.006801,-0.001058,0.000479,0.007712,-0.000878,-0.000116,0.009077,-0.000193,-0.000888,0.007795,-0.000718,0.144920,-0.085700,-0.663457,-0.377534,-0.474248,-0.611773,0.590227,0.288087,-0.350524,0.564617,0.312250,-0.384844,-0.097391,0.199260,0.112634,0.203415,0.059051,-0.015422,0.156305,0.231053,0.134425
1,12,0.004871,0.008580,-0.000926,0.003799,0.008460,-0.001013,0.002946,0.008349,-0.001185,0.001643,0.008198,-0.001318,0.000428,0.007884,-0.000933,-0.000189,0.009143,-0.000306,-0.000972,0.007778,-0.000703,-0.134174,0.079726,0.029463,0.016037,-0.796721,-0.590991,-0.134423,0.612919,-0.171720,-0.143700,0.602237,-0.159032,-0.061452,0.199632,0.185252,0.169752,0.059655,-0.026342,0.163456,0.247951,0.106099
2,12,0.000469,0.008724,0.003302,0.000495,0.008545,0.002234,0.000644,0.008420,0.001382,0.000836,0.008178,0.000075,0.000340,0.007874,-0.000815,-0.000066,0.009148,-0.000510,-0.000947,0.007832,-0.000922,-0.194181,-0.620084,-0.129867,0.384134,-0.703874,-0.353657,0.002286,-0.107619,-0.174541,0.007423,-0.127512,-0.145391,-0.013239,-0.148628,0.177204,0.165463,0.085749,-0.022250,0.194121,0.299193,0.145617
0,13,0.001317,0.003658,-0.000182,0.001308,0.004799,-0.000174,0.001206,0.005647,-0.000263,0.001004,0.006678,-0.000480,0.000389,0.007739,-0.000430,-0.000206,0.009159,0.000118,-0.000839,0.007725,-0.000420,-0.447357,0.361155,0.524233,0.068357,0.115320,0.798320,-0.652775,-0.207335,0.100500,0.571160,0.290960,-0.315139,0.065138,-0.040642,-0.067457,-0.137540,-0.047733,-0.042716,0.107427,0.253868,0.114990
1,13,0.004801,0.008568,-0.000665,0.003628,0.008597,-0.000786,0.002757,0.008515,-0.000826,0.001691,0.008305,-0.000833,0.000353,0.007897,-0.000503,-0.000318,0.009218,0.000073,-0.000892,0.007685,-0.000418,-0.049120,-0.069111,-0.073006,0.006343,0.627023,0.763909,0.022515,-0.723048,-0.000686,-0.192990,0.625464,-0.127309,0.067336,-0.134029,-0.153378,-0.103633,-0.046012,-0.042824,0.099254,0.266301,0.083121
2,13,0.000437,0.008994,0.003659,0.000563,0.008700,0.002569,0.000656,0.008537,0.001714,0.000727,0.008219,0.000672,0.000307,0.007848,-0.000398,-0.000180,0.009237,-0.000129,-0.000797,0.007711,-0.000663,-0.192017,-0.676218,0.049150,-0.534147,0.619981,0.428008,0.059083,0.020259,0.114678,-0.082385,-0.134491,-0.313763,0.037078,0.145079,-0.142417,-0.090196,-0.036342,-0.034290,0.124426,0.376029,0.102026
